Headlines,Time,Description
Communication collapse: Inside Facebook's tussle with Brazil's central bank,Jul 16 2020,Allowing millions of Brazilian users of Facebook's  WhatsApp to send money as easily as texts seemed a golden opportunity for the world's largest social media company.
BOJ looks to big data for clues on pandemic-driven economic changes,Jul 16 2020,"The coronavirus pandemic may have caused structural changes in Japan's economy and the way it affects inflation, requiring the Bank of Japan to tap more deeply into big data in making policy decisions, the central bank's top economist said on Thursday."
"Amid national debate on race, Fed's Bostic sees central bank role on inequality",Jul 16 2020,"A rising stock market alongside 11% unemployment has put the U.S. Federal Reserve in a quandary amid the national debate over racial and economic fairness: Is it helping fix the problems its top officials agree need fixing, or deepening divides between Black and white, and rich and poor?"
"Germany’s long, lonely campaign: Battling Wirecard’s short sellers",Jul 16 2020,"German authorities pressed on for four years investigating investors who bet against Wirecard AG's shares, even after a UK regulator concluded that their evidence against the short sellers was ""not sufficient,"" according to documents and people familiar with the matter."
"India's Reliance seen emerging as bigger threat for U.S. firms like Amazon, Walmart",Jul 16 2020,"A $20 billion fund raising spree may take India's Reliance closer to its dream of becoming a digital giant, further threatening the ambitious plans U.S. companies like Amazon, Walmart and Zoom have for India."
Siemens to let staff spend less time in the office permanently,Jul 16 2020,"Germany's Siemens  has decided to let its employees work from wherever they want for two or three days a week, in the latest example of how the coronavirus is making major companies re-think how and where their staff work."
Ladbrokes owner GVC's long-time CEO Alexander quits,Jul 16 2020,"Ladbrokes owner GVC  announced on Thursday the departure of Chief Executive Officer Kenny Alexander, who transformed the company into one of the world's biggest gambling businesses during 13 years at the helm."
Danone beefs up Specialized Nutrition business in China,Jul 16 2020,"French food group Danone said on Thursday it would spend 100 million euros ($114.08 million) to strengthen its Specialized Nutrition business in China, as it bets on the Chinese market as a source of growth."
China vows 'necessary' measures in response to UK's Huawei ban,Jul 16 2020,"China will take necessary measures in response to Britain's ""discriminatory"" ban on Huawei Technologies Co Ltd [HWT.UL], which has severely damaged China's investment confidence in the country, China's Commerce Ministry said on Thursday."
China says UK has lost independence on Huawei issue,Jul 16 2020,China said on Thursday that Britain has lost its independence on the matter of Huawei Technologies Co Ltd after London decided to ban all Huawei equipment from its 5G networks by the end of 2027.
Many verified Twitter accounts able to post again after hacking,Jul 16 2020,"Twitter  users with verified accounts started to be able to send tweets again at around 8:30 pm EDT, after the company had silenced some of its highest-profile users in response to an hours-long security incident."
"American Airlines sending 25,000 furlough notices as U.S. demand sags",Jul 16 2020,"American Airlines  said on Wednesday it is sending 25,000 notices of potential furloughs to frontline workers and warned that demand for air travel is slowing again as COVID-19 cases increase and states re-establish quarantine restrictions."
Royal Bank of Scotland bids farewell to tainted name on July 22,Jul 16 2020,"Royal Bank of Scotland  will formally change its name to NatWest Group on July 22, in a move aimed at distancing the state-backed lender from its government bailout during the 2008/9 financial crisis."
With inflation in India ticking higher it may be time for RBI to pause,Jul 16 2020,"With India's economic growth sputtering, the Reserve Bank of India was expected to maintain a rate-cutting cycle, but an uptick in near-term inflation could give the central bank's Monetary Policy Committee reason to pause for now."
"IMF chief warns global economy 'not out of the woods,' dangers lurk",Jul 16 2020,"Global economic activity is picking up after an unprecedented decline this year due to the coronavirus pandemic, but a second major wave of infections could trigger more disruptions, the International Monetary Fund's top official said."
Trumps tweet support for Goya Foods amid boycott campaign,Jul 16 2020,"U.S. President Donald Trump and his daughter and adviser Ivanka Trump are rallying support for Goya Foods on Twitter, as social media pressure continues for boycotting the largest Hispanic-owned U.S. food company over its CEO's effusive praise for Trump."
Delayed tax day to bring revenue lift to cash-strapped U.S. states,Jul 16 2020,A downward spiral in revenue in the wake of the coronavirus outbreak will pause this month for most U.S. states as Wednesday's income tax filing deadline generates billions of dollars in payments that would have been due in April.
Tesla registrations in California nearly halve in second quarter: data,Jul 16 2020,"Tesla Inc's  vehicle registrations nearly halved in the U.S. state of California during the second quarter, according to data from Cross-Sell, a marketing research firm that collates title and registration data."
China's economy will continue recovery in second half: stats bureau,Jul 15 2020,"China's economy will continue its recovery in the second half of the year, although the impact from the coronavirus pandemic on the world economy would create some challenges for its growth, the statistics bureau said on Thursday."
New York Times to move part of Hong Kong office to Seoul in wake of security law,Jul 15 2020,"The New York Times  will shift part of its Hong Kong office to Seoul, the latest sign of the chill spreading in the global financial centre just two weeks after Beijing imposed a new national security law."
"China's second-quarter GDP grows 3.2% year-on-year, beats expectations",Jul 15 2020,"China's economy grew 3.2% in the second-quarter from a year earlier, data showed on Thursday, recovering from a record contraction as lockdown measures ended and policymakers stepped up stimulus to combat the shock from the coronavirus crisis."
"China industrial output rises 4.8% year-on-year in June; retail sales, investment fall",Jul 15 2020,"China's industrial output rose 4.8% in June from a year earlier, data showed Thursday, expanding for the third straight month and offering some relief to an economy trying to regain its footing from the shock of the coronavirus outbreak earlier in the year."
"Google ties more work tools into Gmail, aiming to get ahead of Microsoft",Jul 15 2020,"Alphabet Inc's  Google said on Wednesday its corporate Gmail customers would now be able to edit documents and other files without leaving the email service, as it aims to lure clients from rivals by making its tools more integrated."
"Dell considering spinning off VMware stake, shares surge",Jul 15 2020,"Dell Technologies Inc  is considering spinning off its 81% stake in cloud computing software maker VMware , the PC maker said on Wednesday, adding that such a move would not occur before September 2021."
U.S. judge confirms Berkshire Hathaway unit's 643 million euro award against German pipemaker,Jul 15 2020,A U.S. judge on Wednesday confirmed a 643 million euro ($734 million) arbitration award favoring a unit of Warren Buffett's Berkshire Hathaway Inc  that claimed it was fraudulently induced to buy an ailing German pipemaker that inflated sales to look profitable.
Neiman Marcus must justify executive bonuses: U.S. Justice Department lawyer,Jul 15 2020,"Top executives of Neiman Marcus, which filed for bankruptcy in May, do not deserve bonuses of up to $10 million unless they can show they boosted the luxury department store chain's earnings, a U.S. Department of Justice lawyer said."
"Wall Street rallies on vaccine bets, Goldman results",Jul 15 2020,"U.S. stocks ended sharply higher on Wednesday, with the S&P 500 at its highest since early June, following promising early data for a potential COVID-19 vaccine and a strong quarterly report from Goldman Sachs."
"Japan firms see no immediate fix for virus pain, some eye better productivity: Reuters poll",Jul 15 2020,"Nearly half of Japan's companies have no immediate plans in place to help counter the impact of the coronavirus pandemic, although a third of those surveyed in a Reuters poll indicated they were looking to improve productivity to cushion the blow."
"Major U.S. retailers Walmart, Kroger will require customers to wear masks",Jul 15 2020,"Walmart Inc, Kroger Co and Kohls Corp will require shoppers to wear face coverings starting next week, the retailers said on Wednesday, imposing a widely-accepted protective measure as coronavirus cases jump across the United States."
Boeing to support NASA with ISS operations through 2024,Jul 15 2020,Boeing Co  said on Wednesday it would support International Space Station (ISS) operations through September 2024 as part of a $916 million contract extension with NASA.
"Global stocks rally on vaccine hopes, crude oil gains",Jul 15 2020,World shares strode to four-month highs on Wednesday as hopes for a coronavirus vaccine offset rising U.S.-China tensions and also helped lift the euro and oil prices on improved sentiment.
Britain publishes plans to keep internal trade flowing after Brexit,Jul 15 2020,"Britain publishes plans on Thursday to keep trade flowing freely between its constituent nations when regulatory powers are reclaimed from the European Union at the end of the year and redistributed to devolved governments in Scotland, Wales and Northern Ireland."
Pompeo says U.S. to impose visa curbs on Huawei over rights,Jul 15 2020,"U.S. Secretary of State Mike Pompeo took fresh aim at China on Wednesday, saying the United States would impose visa restrictions on Chinese firms like Huawei Technologies Co Ltd that he accused of facilitating human-rights violations."
Virgin Galactic ropes in Disney veteran as CEO,Jul 15 2020,"Billionaire Richard Branson's Virgin Galactic Holdings Inc  on Wednesday named Walt Disney Co  executive Michael Colglazier as its new chief executive officer, sending its shares up 4.3% in extended trade."
"Apple expands news offerings with audio, local newspaper stories",Jul 15 2020,"Apple Inc  on Wednesday expanded its news offerings with audio versions of stories narrated by voice actors for subscribers, a morning newscast hosted by two journalists and more access to local newspaper stories."
U.S. rare earths miner MP Materials to go public in $1.47 billion deal,Jul 15 2020,"U.S. rare earths miner MP Materials will go public in a $1.47 billion deal by merging with a private-equity backed blank-check company, underscoring Wall Street's rising interest in efforts to boost production of the strategic minerals."
Safe-haven dollar hits one-month low on vaccine hopes,Jul 15 2020,"Risk sentiment revived in currency markets on Wednesday as progress toward a COVID-19 vaccine helped equities rebound and commodity currencies strengthen, pushing the dollar to a one-month low."
UBS will no longer be able to contest client data sent to France tax authorities: Swiss court,Jul 15 2020,"UBS  will no longer be informed or be able to contest customer data the Swiss tax authorities hand over to counterparties in France investigating alleged tax avoidance, a Swiss court said on Wednesday."
Oil climbs 2% on U.S. stock draw but gains capped as OPEC+ set to ease cuts,Jul 15 2020,"Oil prices rose 2% on Wednesday, supported by a sharp drop in U.S. crude inventories, but further gains were limited as OPEC and its allies are set to ease supply curbs from August as the global economy gradually recovers from the coronavirus pandemic."
OPEC+ eases record oil cuts as economy recovers from pandemic,Jul 15 2020,OPEC and allies such as Russia agreed on Wednesday to ease record oil supply curbs from August as the global economy slowly recovers from the coronavirus pandemic but said a second wave of the virus could complicate rebalancing in the market.
U.S. manufacturing snaps back; new COVID-19 cases threaten recovery,Jul 15 2020,"U.S. factory output rose by the most in more than 74 years in June as motor vehicle production accelerated amid the reopening of businesses, but the nascent economic recovery was overshadowed by surging new COVID-19 infections."
"Amazon extends work from home policy, still restricting travel",Jul 15 2020,"Amazon.com Inc  has extended a work-from-home policy until Jan. 8 and is continuing to ask employees to defer all non-essential travel, a spokeswoman said on Wednesday."
No coronavirus risk to Tesla's Elon Musk after meeting with Oklahoma governor: spokesman,Jul 15 2020,"Tesla Inc Chief Executive Elon Musk and other Tesla employees are not at risk of having contracted the novel coronavirus after a July 3 meeting with Oklahoma's governor, who said on Wednesday he had tested positive for the virus, a spokesman for the governor said."
"Beyond Meat to sell plant-based patties Brazil, world's No. 3 beef consumer",Jul 15 2020,"Beyond Meat Inc  said on Wednesday it will sell plant-based burgers and sausages at a Brazilian high-end supermarket chain, entering the country about two weeks after launching in mainland China's retail market through Alibaba Group's  Freshippo markets."
Blow for EU as Apple wins fight against $15 billion tax order,Jul 15 2020,"Apple scored a major win on Wednesday as Europe's second-highest court rejected an EU order for the iPhone maker to pay 13 billion euros ($15 billion) in Irish back taxes, dealing a blow to the bloc's attempts to crack down on sweetheart tax deals."
S&P 500 beating Nasdaq for fourth day as investors shift focus,Jul 15 2020,"The S&P 500 index on Wednesday was on track to beat the technology-heavy Nasdaq Composite for a fourth straight session, a feat scored only twice since Wall Street launched its massive recovery last March."
Google backs Reliance's Jio Platforms with $4.5 billion India investment,Jul 15 2020,"Alphabet Inc's Google will invest $4.5 billion in Reliance Industries' digital unit, the Indian group said on Wednesday as it laid out an ambitious roadmap for its businesses ranging from entertainment to retail."
VW centralises group software development at Audi,Jul 15 2020,"Volkswagen  on Wednesday said it was replacing software chief Christian Senger and moving the centre of its group-wide software development from its Wolfsburg headquarters to Ingolstadt, where premium brand Audi is based."
"J.C. Penney to cut 1,000 jobs, close 152 stores",Jul 15 2020,"J.C. Penney Co Inc said on Wednesday it would cut about 1,000 jobs and shutter 152 stores as the U.S. department store chain looks to emerge from Chapter 11 protection and the COVID-19 crisis."
Travel stocks soar as encouraging vaccine study lifts Europe,Jul 15 2020,"European stocks closed at over a five-week high on Wednesday, with travel stocks surfing a wave of optimism following reports of progress in developing a COVID-19 vaccine."
"Goldman Sachs leans on trading profits to boost capital, legal reserves",Jul 15 2020,"Goldman Sachs Group Inc's  outsized reliance on trading and investment banking became a big advantage in the second quarter, driving up revenue while avoiding losses due to the coronavirus, but the pop may prove to be fleeting."
"Pompeo says U.S. to have decisions soon on Chinese technology firms, apps",Jul 15 2020,"The United States hopes to have a set of decisions shortly on Chinese telecoms companies that will reflect Washington's central understanding that the information of U.S. citizens should be protected from Beijing authorities, U.S. Secretary of State Mike Pompeo said on Wednesday."
"U.S. manufacturing output surges in June, but production still below pre-pandemic level",Jul 15 2020,"U.S. factory output increased for a second straight month in June as motor vehicle production accelerated amid the reopening of businesses, but the nascent improvement in manufacturing activity was overshadowed by surging new COVID-19 infections."
"As virus-wary shoppers opt for online purchases, retailers pay the price",Jul 15 2020,"Online sales may be a saving grace for pandemic-battered retailers with fewer shoppers in their stores. But many retailers, from department store chain Macy's Inc to essential retailer Target Corp, are grappling with higher expenses related to e-commerce."
Moderna shares jump on data from early coronavirus vaccine trial,Jul 15 2020,"Moderna Inc's  shares rose around 11% on Wednesday after a small-scale study showed its experimental COVID-19 vaccine produced high levels of virus-killing antibodies, bolstering hopes the shot could prove effective in later stages of testing."
German watchdog under EU scrutiny as it widens Wirecard investigation,Jul 15 2020,The European Union's markets watchdog said on Wednesday that it was reviewing Germany's financial reporting set-up in the wake of Wirecard's  collapse as Germany widened its own investigation into the failed company.
"Swatch Group free to supply watch movements, says Swiss watchdog",Jul 15 2020,"Swatch Group  will be free to supply mechanical watch movements wherever it wants, but won't be allowed to abuse its dominant market position by undercutting rivals' prices, Swiss competition watchdog WEKO said on Wednesday."
German's watchdog widens probe of possible Wirecard insider trading,Jul 15 2020,"Germany's financial watchdog is widening its examination into possible insider trading of Wirecard shares to include any individuals who have sat on the company's management and supervisory boards in 2020, a BaFin spokeswoman said on Wednesday."
"Policymakers will tread carefully on tax reform after Apple ruling, says Ireland's Donohoe",Jul 15 2020,"Policymakers will pay greater care to the legal foundations of corporate tax reforms after an EU order for Apple to pay 13 billion euros ($14.9 billion) in Irish back taxes was rejected in court, Ireland's finance minister said on Wednesday."
EU regulators seek feedback on Google's Fitbit data pledge,Jul 15 2020,"EU antitrust enforcers are asking interested parties whether Google's pledge not to use fitness tracker maker Fitbit's  health data for its advertising, and to separate the dataset from its own, might ease concerns over their tie up."
Britain's BBC announces further 70 job cuts in news,Jul 15 2020,"British broadcaster BBC said on Wednesday it would cut 520 jobs in its news operation, 70 more than the number of layoffs announced in January which were put on hold due to the COVID-19 pandemic."
China warns UK: 'Dumping' Huawei will cost you,Jul 15 2020,"China warned British Prime Minister Boris Johnson on Wednesday that his decision to ban Huawei from the 5G network would cost Britain dearly in investment, casting the move as the result of politicised pressure from U.S. President Donald Trump."
Navistar to develop self-driving trucks with TuSimple,Jul 15 2020,"Truck maker Navistar International Corp  has bought a minority stake in TuSimple and aims to co-develop self-driving trucks by 2024 with the technology company as it rolls out a national U.S. autonomous freight network, the two companies said on Wednesday."
Back-to-school sales to hit $102 billion as laptop buys surge: NRF,Jul 15 2020,"U.S. households are likely to spend a record $102 billion in back-to-school shopping next month, with laptop sales set to boom as parents anticipate the COVID-19 pandemic will keep at least some classes online, a U.S. trade group said on Wednesday."
"Exclusive: Arm raises prices on chip technology for some customers, sources say",Jul 15 2020,"SoftBank Group Corp-owned  semiconductor technology supplier Arm Ltd has moved to raise licensing fees for some customers in recent negotiations, four people familiar with the matter told Reuters."
"Chipotle plans on hiring 10,000 workers to support drive-thru expansion",Jul 15 2020,"Chipotle Mexican Grill Inc  said on Wednesday it plans to hire as many as 10,000 employees over the next few months to help support the expansion of drive-thru lanes at its restaurants."
"Singapore Airlines flags slow recovery in 2021, sees operating first quarter loss",Jul 15 2020,Singapore Airlines Ltd  on Wednesday flagged a hit to its revenue making ability in full-year 2021 on seeing a slower than expected recovery as the ongoing coronavirus crisis saps demand for air travel.
"Delta takes $3 billion charge on buyouts, American Airlines workers brace for furlough warnings",Jul 15 2020,Delta Air Lines  said on Wednesday it would record charges of up to $3 billion in the current quarter for buyout packages aimed at reducing costs while avoiding involuntary furloughs in the fall.
"No time frame for any possible Apple appeal, EU Commission says",Jul 15 2020,"The European Commission could not say on Wednesday how long it might take to decide whether or not to appeal an earlier court tax ruling on iPhone maker Apple, a spokeswoman for the EU executive told reporters."
Special Report: Drug cartel ‘narco-antennas’ make life dangerous for Mexico’s cell tower repairmen,Jul 15 2020,The young technician shut off the electricity at a cellular tower in rural Mexico to begin some routine maintenance.
"Nissan bets on new Ariya electric SUV to symbolize its revamp, but sales plans modest",Jul 15 2020,Nissan Motor Co  on Wednesday unveiled the Ariya - an electric SUV and its first all-new global model in five years - hoping it will symbolize its road to recovery after more than a year of scandal and a precipitous decline into earnings losses.
Brazil's Embraer says Helvetic to convert orders to bigger aircraft: filing,Jul 15 2020,Brazilian planemaker Embraer SA  said Helvetic Airways has reached an agreement to convert four firm orders to the larger aircraft E195-E2 from the original E190-E2s.
"Handelsbanken, SEB top forecasts as Nordic banks weather pandemic",Jul 15 2020,"Quarterly profits at Handelsbanken  and SEB  fell less than expected as the Swedish banks coped with the economic hit from the COVID-19 pandemic, although SEB saw a spike in provisions for bad loans."
'Hands free': Automakers race to next level of not quite self-driving cars,Jul 15 2020,"Autopilot, ProPilot, CoPilot: Automakers have many names for new systems that allow for hands-free driving, but no safety or performance standards to follow as they roll out the most significant changes to vehicle technology in a generation."
Factbox: Semi-automated driving systems: Not all are 'hands free',Jul 15 2020,At least five automakers offer some form of semi-automated driving system in the United States — but not all are truly "hands free" because they require the driver to keep his or her hands on the wheel.
VW brand freezes new hiring until end 2020,Jul 15 2020,"Volkswagen  has stopped hiring new staff at its core brand until year end, VW's brand's chief said on Wednesday."
Ireland welcomes annulling of EU Apple tax order,Jul 15 2020,Ireland welcomed the judgment by Europe's second-top court on Wednesday to reject a European Union order that iPhone maker Apple pay 13 billion euros ($14.78 billion) in Irish back taxes.
Apple welcomes court ruling against EU tax order,Jul 15 2020,Apple said on Wednesday that it was pleased that Europe's second-top court had rejected an EU order to the iPhone maker to pay 13 billion euros ($14.78 billion) in Irish back taxes.
EU's Vestager vows to continue tax fight after Apple setback,Jul 15 2020,"EU antitrust chief Margrethe Vestager vowed on Wednesday to continue her fight against tax measures used by multinationals despite a setback dealt by Europe's second-top court, which earlier scrapped her 13 billion euro tax order to Apple."
"U.S. Paycheck Protection hit some of its mark, but missed the most vulnerable",Jul 15 2020,"The Paycheck Protection Program appears to have thrown a critical safety net under U.S. middle and upper-middle-wage jobs, but it faltered when it comes to lower-paying positions and the industries hit hardest by the coronavirus pandemic, according to a Reuters analysis of loan details."
UK minister on Trump's Huawei remark: 'We all know Trump don't we',Jul 15 2020,"A senior British minister on Wednesday denied that U.S. President Donald Trump was responsible for Britain's 5G ban on Huawei, saying the decision was a considered one despite attempts by some individuals to claim credit."
China says UK's 'dumping' of Huawei will hit investment,Jul 15 2020,China said on Wednesday that Prime Minister Boris Johnson's 5G ban on Huawei was disheartening and that other Chinese businesses had followed how the telecoms giant was "dumped" so investment would be hurt.
Airbnb says one million nights booked in one day,Jul 15 2020,"(This July 14 story, corrects headline, first paragraph to say guests booked 1 million nights)"
"Singapore's Resorts World, a major employer, axes jobs as virus batters tourism",Jul 15 2020,"Resorts World Sentosa, one of Singapore's biggest private sector employers, said on Wednesday it was laying off staff to cut costs as the coronavirus pandemic batters the city-state's tourism industry."
Tele2 says Huawei remains a 'viable vendor',Jul 15 2020,"Swedish telecom operator Tele2 sees China's Huawei as a ""viable vendor"", although that could change in the future, its top chief said on Wednesday."
ASOS to reject UK govt bonus for bringing back furloughed staff,Jul 15 2020,British online fashion retailer ASOS  on Wednesday joined peers Primark  and John Lewis in saying it would not take advantage of a British government scheme to pay employers for bringing back staff from furlough.
"Amid Hong Kong convulsion, Taiwan pitches investors its democracy",Jul 15 2020,"Amid political turmoil in financial hub Hong Kong, Taiwan is pitching investors its democracy, rule of law and high quality of life as the island aims to draw more foreign money and talent, Taiwan's top financial regulator said on Wednesday."
Wanted: signs of V-shaped recovery in earnings reports,Jul 15 2020,"(This July 14 story corrects currency conversion, paragraph 7.)"
Coronavirus cost jobs at a third of small firms open in May: global Facebook survey,Jul 15 2020,"One small firm in three around the world was obliged to cut jobs to stay open through the coronavirus pandemic in May, a survey showed on Wednesday, underlining how hard the outbreak has slammed the world economy."
Chinese mutual fund industry sees jump in new funds and inflows,Jul 15 2020,"China's mutual fund industry saw another massive jump in new products and subscriptions in June, suggesting the swift rally in mainland stocks has room to run further."
China says it will act to protect its interests after UK Huawei ban,Jul 15 2020,China said on Wednesday it will take all necessary measures to safeguard its interests following Britain's decision to purge all Huawei Technologies Co Ltd equipment from its 5G network by the end of 2027.
SMIC's Shanghai listing tests if money alone can bring chip dominance to China,Jul 15 2020,"China's biggest chipmaker SMIC is set to follow its staggering $6.6 billion share sale with its Shanghai market debut on Thursday, just as Sino-U.S. tension widens the chasm it wants to cross to reach global leader TSMC, industry insiders said."
Asian shares gain in cautious mood as U.S.-China tensions rise,Jul 15 2020,"Asian shares rose on Wednesday led by coronavirus vaccine hopes though sentiment was cautious after Beijing vowed retaliatory sanctions against the United States, while the euro rose to a four-month high ahead of a crucial EU summit."
"Over 2,500 games removed from Apple's China App Store after loophole shuts: data firm",Jul 15 2020,"More than 2,500 mobile games were removed from Apple's China app store in the first week of July, four times as many in the same period in June, after Apple closed a loophole to comply with Chinese licence requirements, data from SensorTower showed."
"UK to purge Huawei from 5G by end of 2027, siding with Trump over China",Jul 15 2020,"Prime Minister Boris Johnson ordered Huawei equipment to be purged completely from Britain's 5G network by the end of 2027, risking the ire of China by signalling that the world's biggest telecoms equipment maker is not welcome in the West."
UK's Huawei decision disappointing and wrong: China's ambassador,Jul 15 2020,China's ambassador to Britain said the decision to strip Huawei equipment out of the country's 5G network was disappointing and wrong and called into question Britain's openness to foreign investors.
Shares of Hyundai Motor jump nearly 8% on Seoul's 'green new deal',Jul 15 2020,"Shares of Hyundai Motor  jumped nearly 8% on Wednesday, a day after South Korea announced a ""green new deal"" to spur use of environmentally friendly vehicles."
Internal U.S. small business watchdog launches inquiry into duplicate pandemic loans,Jul 14 2020,The U.S. Small Business Administration's internal watchdog has launched an inquiry into a technical glitch that led many small businesses to receive duplicate loans through a high-profile federal coronavirus aid program.
China to sanction Lockheed Martin over Taiwan arms sale,Jul 14 2020,"China will sanction Lockheed Martin for involvement in the latest U.S. arms sale to Chinese-claimed Taiwan, Beijing said on Tuesday, adding tension to its troubled relationship with the United States."
Tesla secures tax breaks for cybertruck factory in Texas,Jul 14 2020,A central Texas county that includes Austin on Tuesday approved a plan to provide millions in tax subsidies to Tesla Inc  if it builds a $1.1 billion vehicle factory in the area.
Dakota Access pipeline can keep running amid legal fight: U.S. court,Jul 14 2020,"The Dakota Access oil pipeline can continue to operate amid an ongoing court battle, a U.S. Appeals Court said on Tuesday, setting aside for now a lower court's order earlier this month to shut and empty the line."
Crunch time for Apple in fight against $15 billion EU tax order,Jul 14 2020,"Apple's clash with EU competition regulators comes to a head on Wednesday as Europe's second-highest court rules on whether it has to pay 13 billion euros ($15 billion) in Irish back taxes, a key part of the EU's crackdown against sweetheart tax deals."
"Calvin Klein owner PVH to cut 450 jobs in North America, shut 162 outlets",Jul 14 2020,"PVH Corp  said on Tuesday it would cut 450 jobs in North America and shutter 162 retail stores of its business that houses brands such as Van Heusen and IZOD, as the coronavirus crisis wreaks havoc on the apparel industry."
"Wall Street surges, led by energy and materials",Jul 14 2020,"Wall Street surged on Tuesday, with the Dow Jones Industrial Average ending more than 2% higher as investors bought energy and materials stocks and looked beyond a recent rise in coronavirus cases."
Fed officials warn on 'thick fog' ahead for U.S. economy as recovery concerns deepen,Jul 14 2020,"The U.S. economy will recover more slowly than expected amid a surge in novel coronavirus cases across the country, and a broad second wave of the disease could cause economic pain to deepen again, Federal Reserve officials warned on Tuesday."
Oil rises slightly as OPEC+ complies with production cuts,Jul 14 2020,"Oil prices rose slightly on Tuesday as OPEC and its allies cut production by more than agreed to in June, although demand concerns lingered due to increased cases of COVID-19 in the United States. Brent crude  futures settled up 18 cents at $42.90 a barrel, after moving lower earlier in the session. U.S. West Texas Intermediate (WTI) crude  futures rose 19 cents to $40.29 a barrel."
Fed's Harker says increase in coronavirus cases has direct economic impact,Jul 14 2020,"The increase in coronavirus cases across the U.S. can stall the economy and make consumers cautious, Philadelphia Federal Reserve Bank President Patrick Harker said on Tuesday."
Fed's Kaplan says there is 'lots of overcapacity' in U.S. economy: CNBC,Jul 14 2020,"Dallas Federal Reserve Bank President Robert Kaplan said on Tuesday there is ""lots of overcapacity in the economy,"" which he described as ""disinflationary."""
Fed's Brainard: Forward guidance and yield curve control 'very complementary' tools,Jul 14 2020,"It may become relevant for the U.S. Federal Reserve to consider using yield curve control in the future alongside the use of forward guidance to help speed the U.S. economic recovery from the coronavirus pandemic, Fed Governor Lael Brainard said on Tuesday."
Fed's Harker says U.S. economic downturn is painful and 'stubbornly long-lasting',Jul 14 2020,"Months after the coronavirus arrived in the United States, the economy remains ""mired"" in crisis and policymakers need to create solutions that offer better support to struggling small businesses, Philadelphia Federal Reserve Bank President Patrick Harker said on Tuesday."
"Massachusetts sues Uber, Lyft over driver status as contractors",Jul 14 2020,Massachusetts on Tuesday followed California in suing Uber Technologies Inc and Lyft Inc over allegedly misclassifying their drivers as independent contractors instead of employees entitled to extensive benefits.
Iowa farm billionaire's companies receive U.S. pandemic aid,Jul 14 2020,"Iowa-based seed companies owned or partially owned by billionaire Harry Stine won approval for at least six loans - totaling $2.55 million to $6.35 million - in the first round of the federal government's pandemic aid program for small businesses, an analysis of government data showed."
"Dollar falls on rising inflation expectations, higher euro",Jul 14 2020,The dollar fell in North American trade on Tuesday as expectations for inflation picked up slightly and the euro rose on optimism about the possibility of a European Union stimulus package.
Virus worries and FOMO drive options bets on surging tech giants,Jul 14 2020,"Options investors are ramping up bets on some of this year's  biggest winners, including Amazon.com Inc , Netflix Inc  and Tesla Inc , even as they turn cautious on the wider market amid a resurgent U.S. coronavirus outbreak."
"Elanco to divest brands, forgo Canadian rights for Bayer's unit deal",Jul 14 2020,"Elanco Animal Health Inc  has decided against acquiring Bayer AG's Canadian distribution rights to several poultry insecticides, Canada's Competition Bureau said on Tuesday, as it looks to complete a $7.6-billion deal."
Google faces lawsuit over tracking in apps even when users opted out,Jul 14 2020,"Alphabet Inc's  Google records what people are doing on hundreds of thousands of mobile apps even when they follow the company's recommended settings for stopping such monitoring, a lawsuit seeking class action status alleged on Tuesday."
Wells Fargo will cut costs further after first loss since 2008,Jul 14 2020,"Wells Fargo & Co will launch a broad cost-cutting initiative this year, executives said on Tuesday, as the bank braces for massive loan losses caused by the coronavirus pandemic and continues to work through expensive regulatory and operational problems tied to a long-running sales scandal."
Free pizza and a 75-foot statue of Musk: the battle for the next Tesla plant,Jul 14 2020,"Tulsa, Oklahoma, is an oil-industry town with a 75-foot (23 m) statue called ""The Golden Driller."""
"Delta CEO says demand 'at a stall,' 2019 business travel may never return",Jul 14 2020,"Delta Air Lines  expects its third-quarter revenue and flight capacity to be around 20% to 25% of last summer, with demand stalling amid a surge in COVID-19 cases and a sustainable industry recovery more than two years away."
BT says Huawei ban can be absorbed in 500 million pounds already earmarked,Jul 14 2020,"BT , Britain's biggest mobile and broadband company, said it estimated that a ban on Huawei's equipment in its 5G networks would cost it no more than the 500 million pounds ($630 million)it had earmarked to comply with a cap imposed earlier this year."
"""Thick fog"" over U.S. economy and Fed will need to provide sustained accommodation: Brainard",Jul 14 2020,"There is a great deal of uncertainty about the path ahead for the U.S. economy and the Federal Reserve should use forward guidance and large-scale asset purchases for a ""sustained"" period in order to help the recovery, Fed Governor Lael Brainard said on Tuesday, as she offered a downbeat assessment of the risks ahead."
"Google hit with 600,000 euro Belgian privacy fine",Jul 14 2020,"Google has received a record fine from Belgium's data protection authority (APD) of 600,000 euros for not complying with European rules on a person's ""right to be forgotten"" online."
German watchdog files new Wirecard insider trading complaint,Jul 14 2020,The German financial watchdog BaFin said on Tuesday that it had filed a complaint with Munich prosecutors over a further episode of alleged insider trading in Wirecard.
Can Netflix stay one of Wall Street's favorite pandemic stocks? Results due Thursday,Jul 14 2020,Netflix Inc will tell investors on Thursday how home-bound audiences and a lack of live sports have boosted its membership rolls even as streaming competition rises to unprecedented levels.
Thailand's AIS says Huawei among bidders to build 5G core networks,Jul 14 2020,Thailand's largest mobile operator Advanced Info Service Pcl  said on Tuesday Huawei Technologies [HWT.UL] was among five companies bidding to build its 5G core networks as it ramped up investments this year.
